name,price,link
Olaplex No.3 Hair Perfector 100ml,£28.00,https://www.lookfantastic.com/olaplex-no.3-hair-perfector-100ml/11416400.html
Color Wow Color Security Shampoo 250ml,£21.50,https://www.lookfantastic.com/color-wow-color-security-shampoo-250ml/11310090.html
Color Wow Dream Cocktail - Kale Infused 200ml,£25.00,https://www.lookfantastic.com/color-wow-dream-cocktail-kale-infused-200ml/11310106.html
Beauty Works Ten-in-One Miracle Heat Protect Spray 250ml,£11.99,https://www.lookfantastic.com/beauty-works-ten-in-one-miracle-heat-protect-spray-250ml/11115148.html
Olaplex No.7 Bonding Oil 30ml,£28.00,https://www.lookfantastic.com/olaplex-no.7-bonding-oil-30ml/12362849.html
Kérastase Elixir Ultime L'Original Hair Oil 100ml,£39.56,https://www.lookfantastic.com/kerastase-elixir-ultime-l-original-hair-oil-100ml/11858060.html
Color Wow Xtra Large Bombshell Volumizer 195ml,£24.00,https://www.lookfantastic.com/color-wow-xtra-large-bombshell-volumizer-195ml/13097080.html
Color Wow Raise the Root Thicken + Lift Spray 150ml,£21.50,https://www.lookfantastic.com/color-wow-raise-the-root-thicken-lift-spray-150ml/11310099.html
Shea Moisture Manuka Honey & Yogurt Hydrate & Repair Multi-Action Leave-In Conditioner 237ml,£12.99,https://www.lookfantastic.com/shea-moisture-manuka-honey-yogurt-hydrate-repair-multi-action-leave-in-conditioner-237ml/12206171.html
Shea Moisture Manuka Honey & Yogurt Hydrate & Repair Conditioner 369g,£10.99,https://www.lookfantastic.com/shea-moisture-manuka-honey-yogurt-hydrate-repair-conditioner-369g/12206173.html
"Shea Moisture Jamaican Black Castor Oil Strengthen, Grow & Restore Leave-In Conditioner 431ml",£11.00,https://www.lookfantastic.com/shea-moisture-jamaican-black-castor-oil-strengthen-grow-restore-leave-in-conditioner-431ml/11309672.html
Color Wow Xtra Large Bombshell Volumizer 50ml,£11.00,https://www.lookfantastic.com/color-wow-xtra-large-bombshell-volumizer-50ml/13910253.html
Color Wow Dream Cocktail - Coconut Infused 200ml,£25.00,https://www.lookfantastic.com/color-wow-dream-cocktail-coconut-infused-200ml/11310104.html
Umberto Giannini Curl Jelly Scrunching Jelly 200ml,£6.15,https://www.lookfantastic.com/umberto-giannini-curl-jelly-scrunching-jelly-200ml/12671461.html
Color Wow Colour Security Conditioner for Fine to Normal Hair 250ml,£21.50,https://www.lookfantastic.com/color-wow-color-security-conditioner-for-fine-to-normal-hair-250ml/11310091.html
Redken Amino Mint Scalp Cleansing Shampoo For Greasy Hair and Oily Scalps 300ml,£20.32,https://www.lookfantastic.com/redken-retail-amino-mint-scalp-shampoo-300ml/13441948.html
Olaplex No.4 Bond Maintenance Shampoo 250ml,£28.00,https://www.lookfantastic.com/olaplex-no.4-bond-maintenance-shampoo-250ml/12164501.html
Color Wow Raise the Root Thicken + Lift Spray Travel Size 50ml,£11.00,https://www.lookfantastic.com/color-wow-raise-the-root-thicken-lift-spray-travel-size-50ml/13340833.html
Neutrogena T/Gel Therapeutic Shampoo Treatment for Scalp Psoriasis and Dandruff 250ml,£10.49,https://www.lookfantastic.com/neutrogena-t-gel-therapeutic-shampoo-treatment-for-scalp-psoriasis-and-dandruff-250ml/11433836.html
Wella Professionals Care Invigo Nutri-Enrich Smooth and Nourished Hair Gift Set (Worth £33.00),£15.40,https://www.lookfantastic.com/wella-professionals-care-invigo-nutri-enrich-smooth-and-nourished-hair-gift-set/14890054.html
Color Wow Style on Steroids Performance Enhancing Texture Spray 262ml,£24.00,https://www.lookfantastic.com/color-wow-style-on-steroids-performance-enhancing-texture-spray-262ml/11516015.html
Olaplex No.5 Bond Maintenance Conditioner 250ml,£28.00,https://www.lookfantastic.com/olaplex-no.5-bond-maintenance-conditioner-250ml/12164549.html
Color Wow Dream Clean Fine to Normal Duo,£34.40,https://www.lookfantastic.com/color-wow-dream-clean-fine-to-normal-duo/13806351.html
OUAI Detox Shampoo Travel Size 89ml,£12.00,https://www.lookfantastic.com/ouai-detox-shampoo-travel-size-89ml/12968010.html
L'Oréal Paris Elnett Satin Heat Protect Spray - Straight (170ml),£4.69,https://www.lookfantastic.com/l-oreal-paris-elnett-satin-heat-protect-spray-straight-170ml/10727995.html
Olaplex No.8 Bond Intense Moisture Mask 100ml,£28.00,https://www.lookfantastic.com/olaplex-no.8-bond-intense-moisture-mask-100ml/12882753.html
Color Wow Pop & Lock High Gloss Finish 55ml,£19.50,https://www.lookfantastic.com/color-wow-pop-lock-high-gloss-finish-55ml/11310093.html
Living Proof Perfect Hair Day (PhD) Dry Shampoo 198ml,£25.00,https://www.lookfantastic.com/living-proof-perfect-hair-day-phd-dry-shampoo-198ml/11907768.html
Kérastase Resistance Bain Force Architecte 250ml,£20.04,https://www.lookfantastic.com/kerastase-resistance-bain-force-architecte-250ml/10555451.html
Grow Gorgeous Scalp Massage Tool,£8.40,https://www.lookfantastic.com/grow-gorgeous-scalp-massage-tool/12801373.html
Color Wow Colour Security Conditioner for Normal to Thick Hair 250ml,£21.50,https://www.lookfantastic.com/color-wow-color-security-conditioner-for-normal-to-thick-hair-250ml/11310092.html
Philip Kingsley Elasticizer Intensive Treatment 150ml,£30.60,https://www.lookfantastic.com/philip-kingsley-elasticizer-deep-conditioning-treatment-150ml/10305894.html
Olaplex No.0 Intensive Bond Builder 155ml,£28.00,https://www.lookfantastic.com/olaplex-no.0-intensive-bond-builder-155ml/13716607.html
Grow Gorgeous Intense Thickening Hair and Scalp Mask 200ml,£17.50,https://www.lookfantastic.com/grow-gorgeous-intense-thickening-hair-and-scalp-mask-200ml/11927424.html
ghd Bodyguard Heat Protect Spray 120ml,£18.95,https://www.lookfantastic.com/ghd-bodyguard-heat-protect-spray-120ml/11195523.html
Color Wow and Chris Appleton Money Masque 215ml,£39.50,https://www.lookfantastic.com/color-wow-and-chris-appleton-money-masque-215ml/12865667.html
Christophe Robin Cleansing Purifying Scrub with Sea Salt 75ml,£12.60,https://www.lookfantastic.com/christophe-robin-cleansing-purifying-scrub-with-sea-salt-75ml/12642437.html
Living Proof Perfect Hair Day (PhD) Advanced Clean Dry Shampoo 198ml,£27.00,https://www.lookfantastic.com/living-proof-perfect-hair-day-phd-advanced-clean-dry-shampoo-198ml/13190400.html
Moroccanoil Treatment Original 100ml,£36.45,https://www.lookfantastic.com/moroccanoil-treatment-original-100ml/10387664.html
